2026-02-19 07:40:53 - src.config - INFO - Production configuration loaded successfully.
2026-02-19 07:40:53 - src.database.db_manager - INFO - Initializing connection pool on 127.0.0.1:5433...
2026-02-19 07:40:53 - src.database.db_manager - INFO - PostgreSQL connection pool established.
2026-02-19 07:40:53 - src.database.db_manager - INFO - Database schema verified/created.
2026-02-19 07:40:59 - src.config - INFO - Production configuration loaded successfully.
2026-02-19 07:40:59 - src.database.db_manager - INFO - Initializing connection pool on 127.0.0.1:5433...
2026-02-19 07:40:59 - src.database.db_manager - INFO - PostgreSQL connection pool established.
2026-02-19 07:40:59 - src.database.db_manager - INFO - Database schema verified/created.
2026-02-19 07:41:03 - src.producer.simulator - INFO - Kafka Producer initialized for topic: customer_heartbeats
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 79 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 92 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 61 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 139 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 89 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 66 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 188 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 72 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 65 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 92 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 96 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 101 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 137 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 84 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 92 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 78 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 88 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 87 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 90 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 81 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 65 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 61 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 92 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 86 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 130 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 91 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 113 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 82 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 83 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 69 BPM
2026-02-19 07:41:13 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 67 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 90 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 110 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 89 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 76 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 94 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 71 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 63 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 79 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 93 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 105 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 63 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 77 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 114 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 127 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 76 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 103 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 156 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 99 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 85 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 96 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 65 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 100 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 62 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 84 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 77 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 115 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 68 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 70 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 63 BPM
2026-02-19 07:41:14 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 97 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 89 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 120 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 99 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 66 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 73 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 71 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 89 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 85 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 135 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 72 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 85 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 64 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 103 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 88 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 82 BPM
2026-02-19 07:41:15 - src.consumer.spark_processor - INFO - Starting Spark Structured Streaming Consumer...
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 121 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 77 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 167 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 74 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 189 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 61 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 73 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 90 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 85 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 73 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 84 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 112 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 79 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 154 BPM
2026-02-19 07:41:15 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 71 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 60 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 68 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 72 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 87 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 83 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 89 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 70 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 74 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 140 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 72 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 85 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 79 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 98 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 74 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 85 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 77 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 82 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 156 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 98 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 85 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 92 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 97 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 119 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 93 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 76 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 93 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 120 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 154 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 103 BPM
2026-02-19 07:41:16 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 87 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 69 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 89 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 118 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 83 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 68 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 79 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 97 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 64 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 91 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 73 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 64 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 88 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 83 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 91 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 122 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 72 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 81 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 99 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 63 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 92 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 91 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 68 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 82 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 65 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 93 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 69 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 81 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 118 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 84 BPM
2026-02-19 07:41:17 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 76 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 79 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 86 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 80 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 69 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 94 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 94 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 67 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 67 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 125 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 82 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 65 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 90 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 73 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 95 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 87 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 71 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 171 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 134 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 176 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 82 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 60 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 102 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 77 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 99 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 156 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 86 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 76 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 78 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 92 BPM
2026-02-19 07:41:18 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 107 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 77 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 74 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 70 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 95 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 98 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 81 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 64 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 64 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 67 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 89 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 100 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 89 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 80 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 91 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 79 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 92 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 108 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 72 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 86 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 79 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 90 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 91 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 82 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 74 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 92 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 138 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 88 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 67 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 62 BPM
2026-02-19 07:41:19 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 67 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 82 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 84 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 79 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 85 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 73 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 82 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 78 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 63 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 77 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 107 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 93 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 187 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 74 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 89 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 91 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 91 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 98 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 80 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 86 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 132 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 69 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 122 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 88 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 76 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 80 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 89 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 84 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 150 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 98 BPM
2026-02-19 07:41:20 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 95 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 68 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 179 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 123 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 72 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 67 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 114 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 73 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 81 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 69 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 148 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 93 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 82 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 65 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 74 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 160 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 97 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 94 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 88 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 71 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 67 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 98 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 159 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 88 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 70 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 118 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 164 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 66 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 84 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 81 BPM
2026-02-19 07:41:21 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 92 BPM
2026-02-19 07:41:22 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 74 BPM
2026-02-19 07:41:22 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 90 BPM
2026-02-19 07:41:22 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 64 BPM
2026-02-19 07:41:22 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 92 BPM
2026-02-19 07:41:22 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 79 BPM
2026-02-19 07:41:22 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 84 BPM
